"Pied Piper ","Silicon Valley ","Cloud Computing ","6 ","5000000 ","50000000 ","2014 ","A ","Richard Hendricks ","A Middle-Out Compression Solution",
"Hooli ","Silicon Valley ","Enterprise ","9000 ","580000000 ","49500000000 ","1997 ","","Gavin Bensen ","Hooli Is About People",
"Raviga Capital ","Silicon Valley ","Venture Capital ","12 ","300000000 ","3000000000 ","2012 ","","Peter Gregory ","Share Only In Success",
"Aviato ","Silicon Valley ","Travel ","3 ","250000 ","2500000 ","2006 ","Acquired ","Erlich Bachman ","Software Aggregation Program",
"SEE FOOD ","Silicon Valley ","Mobile ","2 ","","15000000 ","2016 ","Acquired ","Jian-Yang ","The Shazam of Food",
"Forbid ","New York ","Mobile ","25 ","1400000 ","5000000 ","2013 ","Acquired ","Charlie Dattolo ","Charge Users $10 for Calling Their Ex",
"Soulstice ","New York ","Fitness ","300 ","30000000 ","120000000 ","2014 ","B ","","What are your goals today?",
"E-Corp ","New York ","Enterprise ","10000 ","","66000000000 ","2006 ","","Phillip Price ","Together We Can Change the Wolrd",
"Allsafe Cybersecurity ","New York ","Security ","250 ","123000000 ","1000000000 ","2014 ","","Gideon Goddard ","",
"fsociety ","Brooklyn ","Games ","5 ","","","2015 ","Stealth ","Elliot Alderson ","Fun Society Arcade",
"Summit Ice ","Los Angeles ","Fashion ","2 ","50000 ","800000 ","2015 ","Seed ","Nathan Fielder ","Raising Awareness of the Holocaust",
"The Movement ","Los Angeles ","Fitness ","3 ","15000 ","","2015 ","Seed ","Nathan Fielder ","No Gym. No Weights. Just Results.",
"WUPHF! ","Scranton ","Social ","6 ","25000 ","10000 ","2010 ","Seed ","Ryan Howard ","Cross-Portal Messaging System",
"Fakeblock ","Irvine ","Mobile ","2 ","3 ","","2013 ","Seed ","George Michael ","OC's Most Popular Digital Wood Instrument",
"Magic Heap ","Fort Lauderdale ","Augmented Reality ","500 ","1800000000 ","8000000000 ","2013 ","D ","Johnny Malkovich ","¯\_(ツ)_/¯",
"HoloGrail ","San Francisco ","Technology ","30 ","51000000 ","1800000000 ","2016 ","B ","Daniel Li ","Volumetric Display",
"Voice2Txt ","San Francisco ","Mobile ","16 ","1800000 ","15000000 ","2012 ","Seed ","Cole Romano ","Transcribes Voicemails to Texts",
"V-Arrr ","San Francisco ","Virtual Reality ","6 ","750000 ","2500000 ","2015 ","Seed ","Cole Romano ","Pirate-Themed VR App",
"REBU ","San Francisco ","Logistics ","15000 ","11500000000 ","70000000 ","2009 ","G ","Kravis Talanick ","Ridesharing Platform",
"Rave New World ","San Francisco ","Social ","8 ","250000 ","6000000 ","2014 ","","Sam Guss ","Social Media for the EDM Community",
"WaterCnC ","San Francisco ","Travel ","4000 ","4400000000 ","25000000000 ","2008 ","F ","Crian Besky ","Water Sharing Platform for Cooks and Chefs",
"RankerBot ","San Francisco ","Algorithms ","5 ","1500000 ","7600000 ","2013 ","Acquired ","Delaney ","Water Sharing Platform for Cooks and Chefs",
"Xandesk ","San Francisco ","Customer Service ","100 ","75500000 ","640000000 ","2012 ","IPO ","Ronald Paris ","Keep Frowning",
"Everyotherday.me ","San Francisco ","Mobile ","35 ","","","2012 ","Seed ","Jeremy Lin ","Journal that Captures the Special Moments",
"Frontsby ","San Francisco ","","","","","2013 ","Seed ","Olivia Plath ","",
"2Smart2Host ","Brooklyn ","Data Analytics ","4 ","380000 ","","2014 ","Acquired ","Evan Nails ","Dynamic Pricing for Vacation Rentals",
"StarsNGripes ","Boulder ","Social ","3 ","2000000 ","560000000 ","2015 ","A ","Gregory Hilt ","Yelp for US Landmarks and Tourist Attractions",
"SoCorny ","Omaha ","Technology ","65 ","25000000 ","2000000000 ","2013 ","B ","Elon Husk ","Analytics Platform for Corn Production",
"VeVork ","New York ","Real Estate ","200 ","750000000 ","20000000000 ","2010 ","G ","Mada Nammneu ","Co-relaxing Space for Vampires",
"Brrr ","New York ","Gambling ","10 ","5000000 ","322000000 ","2012 ","A ","Solo ","eSports Betting",
